korean,english
이 사진은 작년 유럽 여행 때의 사진이예요.,This photograph is from last year's trip to Europe.
"조금만 기다려 주시면 바로 메시지로 안내해 드릴게요, 감사합니다. ",Please wait a second before we send you a message. Thank you.
둘째 학교를 열심히 다녀야해요.,"Second, I need to attend school with sincerity."
"네, 지금 바로 경찰 불러드리도록 하겠습니다.","Sure, we will call the police right away. "
교수님한테 한 번 가서 다시 점수 달라고 해볼까?,Should I go to the professor to ask for points back?
뭐가 문제인지 그 사람들이 아직 파악을 못했어요.,They haven't figured out what's wrong yet.
만약 내가 피곤하더라도 당신을 만 날거예요.,"I shall meet you, even if I am very tired."
공항에서 시내로 가는 버스와 시내에서 공항으로 오는 버스를 미리 예매하고 싶어요.,I would like to prepurchase tickets from the bus from the airport to the city center and the bus from the city center to the airport.
그렇지만 그는 날 낳았을 당시에 그들이 너무나 어렸었다고 대답했어.,"But he told me that when I was born, they were too young."
"우리는 바로 그들의 어머니이고 또한, 그들의 아버지가 될 수 있다는 것이예요.",It is that we are their mother and father at the same time.
거기는 실내와 실외가 같이 있어.,There are indoors and outdoors together.
내가 부재 중일 때는 늦지 않았으면 좋겠어.,I want you to not be late during my absence.
"맞아, 하지만 반대로 떨어지는 사람이 너무 안타깝기도 해. ","Yes, but on the other hand, I feel so bad for those who don't make it."
아마도  남자라면 대부분 이 영화를 알것이에요.,Maybe most of the males know this movie.
그럼 혹시 제가 번역한 후에 검수해주실 수 있으신가요?,Then could you review it after I finish the translation?
여러분은 나에게 공부하는 즐거움을 주었어요.,You gave me the happiness of studying.
두 명이 이사로 승진한다고 들었어요.,I heard two people will be made directors.
그는 어제 운동장을 달리고 있었어.,He was running in the playground yesterday.
그렇기 때문에 뉴질랜드에서 더욱더 바닥난방은 더 필수적이예요.,So floor heating is highly essential in New Zealand.
영어를 잘못해서 대답을 다 못해 드려요.,I can't answer everything because I'm not good at English.
그럼 같이 앉아서 구상해볼까요?,Shall we sit at the table and get the idea?
심지어 학교에도 가고 싶지 않아요.,I don't even want to go to school.
굳이 나눠서 주문하는 것보다는 한꺼번에 하는 게 좋을 것 같아요.,"Instead of splitting the order, it'd be better to order them at once."
취소하려면 처리 수수료가 발생하는 것은 알고 계시죠?,"You know that cancellation will incur processing fees, right?"
현재 일시적으로 클라우드 세이브 기능을 비활성화 하였어요.,The cloud save function has been temporarily disabled.
당신은 장난으로 사랑한다고 말했어요.,You said that you loved me for a joke.
토요일에 조카 첫 생일 파티가 있었어.,I had the first birthday party of my nephew on Saturday.
오늘 수업 페이지가 어떻게 되나요?,How many pages are we going to study in today's class?
근처에 살았었는데 못 가 봤어요.,I lived nearby but didn't get a chance to go there.
너의 한국 여행 때문에 나는 피곤해요.,I am tired due to your journey in Korea.
어쩔 수 없잖아. 지금 시간에는 항상 차가 막히는 곳인가 봐. ,What can we do? Guess it is always crowded here at this hour.
그러면 신제품 인쇄 광고 샘플 수정사항은 없는 것 같아요?,Do you then think the new print-ad sample doesn't need any modifications?
그렇다면 다음주 수요일에 수업해 주세요.,Then please teach a class on next Wednesday.
나는 지금까지 영어를 즐기지 못했어.,I have never enjoyed english until now.
밤에는 당신이 만나기를 원하지 않아.,I don't want to meet you night time.
화요일과 목요일은 고객과 상의해 볼게요.,I will consult with consumers on Tuesday and Thursday.
모든 것 들이 시골 아이 들에게는 낯설지도 몰라.,Everything might be unfamiliar to children from countryside.
내가 아버지와 함께 야구를 했던 시간들이에요.,These are times that I played baseball with my father.
우리 이번 시험 또 전교 1등 김해리라면서?,Is Hye-ri Kim 1st in our school for this exam again?
나는 매일 전화로 그와 이야기 해요.,I speak with him by telephone everyday.
"아니요, 입국하는 나라의 언어도 사용 가능 합니다.","No, the language of the country you enter is also available."
일하러 왔습니다. 여권에 보시면 상용 비자가 있습니다.,I came for a business trip. You can find a business visa in my passport.
찹살떡을 당신이 직접 집에서 만든건가요?,Did you make steaky rice cake by yourself?
예전 직장에서 인터넷 광고를 많이 만들었어요. 다음 회의에서 발표하도록 하겠습니다.,I've made a lot of internet ads in my previous work. I will give a presentation at the next meeting.
태권도도 인천 아시안 게임 종목 중 하나인가요?,Is Taekwondo an official game in Incheon Asian Games?
맞아. 한겨울인데 난방도 안 틀어주는 건 말도 안 돼. ,"You're right, it's absurd that they don't turn the heater on in the middle of winter."
오늘은 고등학교 배치 고사가 있었어.,Today I had a replacement test for a high school.
그런데 그 외국인들은 어디를 가야할지 몰라.,But the foreigners don't know where to go.
우리가 왜 이렇게 되어야 하나요?,Why do we have to become like this?
제가 이번 역에서 2호선으로 갈아타야 하는데 어디로 가야 하나요?,Where do I have to go if I need to transfer to line 2 at this station?
로마서는 그의 순교록에 포함되어 있기도 해요.,Romans is sometimes included in his martyrology.
"분명 홈페이지에는 밤 10시까지 영업한다고 되어 있었는데, 무슨 일이지?",The website clearly said it's open until 10pm. What happened?
"네, 상당히 넓은 수면실이 갖춰져 있습니다. ","Yes, there is a very spacious sleeping room."
사람들마다 성공의 기준이 다를 것이예요.,Everyone's standard of success could be different.
하기 내용에 따라 요청하신 사진 첨부드려요.,"As the content below, I attach the photo you requested."
많이 찾아봤구나. 야시장에서는 카드 결제가 안 되고 현금만 가능한가?,"You've searched a lot. Can we only pay by cash, not by credit card, in the night market?"
"네, 다른 지역의 회사에 신입사원들을 교육하는 일을 하러 갑니다.",Yes. I'm going to a company in a different region to train new employees.
어젯밤부터 춥고 온몸이 떨려요. 해열제를 복용했지만 나아지지 않아요.,I've been shivering cold since last night. I had a fever reducer but it's not getting any better.
저는 지금 알고 계신대로 소프트웨어 엔지니어로 일하고 있어요.,"As you know, I am working as a software engineer now."
우리 학교 축구 팀은 대회에 나갔어.,Our school football team participated a tournament.
근데 보고 있으면 어디까지가 연기인지 모르겠어.,But you can't tell which part he is not acting.
중간고사와 달리 저는 영어는 쉬웠는데 수학이 어려웠습니다.,English was easy but math was difficult for me unlike the midterm exam.
거스름돈을 잘못 주신 것 같은데요.,I'm afraid you gave me the wrong change.
숯불향이 배어있는 족발을 맛볼 수 있어.,We can taste Jokbal which is filled with smell of fire.
프랑스로 가신 이후로 뵌 적이 없네요.,I haven't seen you since you left for France.
우리 이 가사로 노래 불러 볼 것이예요.,We will sing a song with these lyrics.
한국인은 커피와 빵을 좋아해요.,Korean likes the coffee and bread.
"대학교에 입학했을 때, 나는 행복했어요.",I was happy to get into the college.
약간 이상한 냄새도 나고 맛도 예전이랑 좀 달랐어요.,It smelled a little weird and tasted a little different from the usual.
제목은 당신이 영어를 못하는 진짜 이유이예요.,The title is the real reason why you can't speak English.
다카시마님의 설명은 객관적 사실에 근거를 두고 있어요.,Ms.Takashima's explanations are based on objective facts.
지킬수있는 약속만 해야한다고 생각해요.,I think the promises should be kept.
요즘엔 연기도 잘하는 아이돌 멤버 많지 않나?,Aren't there many idol members who are good at acting these days?
회의 시간은 30분 이상 진행하기 어렵습니다. ,It's difficult to proceed with the meeting for more than 30 minutes. 
바닥은 어차피 하루면 또 더러워져. 다음 주에 하자.,The floor gets dirty again in one day anyway. Let's do it next week.
나는 겨울 왕국이라는 영화에서 네가 나오는 것을 봤어.,I saw you coming out in the film The Frozen.
엄마와 아빠의 반지는 손에 끼고 있어.,Mother and father wear rings on their finger.
부르셨습니까? 고객님? 혹시 필요한 것이 있나요?,"Did you call, sir? Is there anything you need?"
교사는 가르치는 것에 대해 자부심과 사명감이 있어야 해요.,Teacher needs to have a pride and a faith in teaching.
한국에는 아직까지 남녀 차별이 있어.,Sexism still exists in Korea until now.
기압 유형을 자세히 들여 다 보십시오.,Take a closer look at the pressure pattern.
최대한 빨리 결승전에 가려면 어떻게 하는 게 좋을까요?,What do you think is the best option to get to the final as quickly as possible?
좋아요! 얼른 실력 늘어서 대회에도 나가고 싶어요.,Great! I want to improve my skills and also enter competitions.
"우리는 600벌의 남자, 여자, 아이들 한복을 가지고 있어요.","We have six hundred Hanbok for men, women, and children."
정부는 비정규직을 위한 법안을 추진해야해요.,The government should push for a bill for temporary employees.
매운 것을 잘 먹지 못한다면 추천하지 않아.,"If you do not eat spicy food well, I do not recommend this."
강강술래의 유래는 두 가지이에요.,There are two origins of Ganggangsulae.
제가 회의를 신청하려고 이메일을 보냈는데 답장이 없으셔서 전화드렸습니다.,I'm calling because I haven't gotten any reply to the email I sent to request a meeting.
내가 가장 좋아하고 내 힘이 돼 주었던 과목이 미술이였어요.,My favorite subject which gave me a comfort was the art.
"저의 행복은 지금, 현재이니까요.","My happiness exists right now, in this moment."
당신은 즐거운 새해를 맞이하고 있습니까?,Are you having a good start of the year?
금요일 저녁에 너의 언니 집에서 밥 먹어.,Have dinner at your sister's place on Friday night.
오늘 중으로 취합해서 보고드리겠습니다.,I will gather information today and let you know.
자꾸 횟수에 집착하지 말고 꾸준히 하는 것을 생각해봐.,Don't be obsessed with the number of times you work out and think about doing it steadily.
많은 고객님들이 좋아해주셔서 정말 다행입니다.,I'm so glad a lot of customers liked it.
문제를 해결하는데 좀 일정이 걸리겠어요.,I am afraid it will take some time to solve this problem.
그들이 오후에 나에게 가져다 주기로 했어요.,They will bring it to me in the afternoon.
생일 축하한다. 생일 때는 나이만큼 초를 케이크에 꽂는 거야.,Happy birthday. You put the same number of candles as your age on the cake.
당신의 동네에는 우체국이 있습니까?,Is there a post office in your neighborhood?
근데 내 입장에서 너에게 돈을 빌려 줄 순 없어.,"But, in my position I cannot lend you some money."
추가로 필요하신 사항은 메일 부탁드려요.,"If you need anything further, please email us."
"또한, 한국에서도 이러한 문제에 대한 법적인 개선이 필요해요.","Also, Korea needs a legal protection against such problems."
카메라의 외형에 사용 감이 있어요.,There are used traces on the appearance of camera.
군대간 아들이 휴가를 나왔어요.,My son who went to military got out for a holiday.
당신이 맨체스터 유나이티드에서 나가줬으면 좋겠어.,I hope you will leave from Manchester United.
저는 벽걸이 TV 원하는 데 그 상품도 50% 할인합니까?,I want a wall-mounted TV. Is that product also 50 percent off?
도대체 캐리의 한국 개봉일은 언제야?,When is Carry going to be released in Korea?
공항 가는 차량 예약하고 싶어요.,I would like to reserve a car to the airport.
그곳에서 제품을 확인하고 주문해요.,You check and order products there.
새로운 첨부된 오더리스트로 견적부탁드려요.,Please give me estimation based on order list newly attached.
5월 16일까지 제출하시면 됩니다.,The deadline is May 16th.
이 소포는 중량 제한 내에 들어갑니까?,Is this parcel within the weight limit?
제가 왜 사육사가 되고 싶은지 말하겠어요.,I am going to say why I want to become a keeper.
아니면 주연옆에 까메오가 되어 있을까요?,Or would I be a cameo next to a main character?
다시 만나서 반가웠고 너희들과 함께했던 모든시간들이 그리울거야.,I was glad to see you and miss all the times we had together.
이것이 내 주장을 뒷받침하는 합리적인 근거이예요.,This is my reasonable foundation to support my contention.
어쩌나. 영화 티켓은 재발급 받기가 굉장히 어려운데요.,"Jee, movie tickets are very hard to reissue."
우리 팀 구장은 화장실 때문에 불만들이 많아요.,There are a lot of complaints about our stadium because of the bathroom.
아마도 사람들이 가볍게 볼 수 있는 정도로 한 것 같아. ,I guess it was to make people watch them casually.
그럼 당신 저녁은 회사에서 먹고 오는거야?,Then will you come home after having dinner at work?
마지막 시즌이 끝나면 한동안 후유증 때문에 힘들었던 적도 있어. ,"After the final season, I once had a hard time getting over it."
영업부서의 하라다씨와 통화할 수 있을까요?,May I speak to Mr.Harada of the sales department?
신호등을 어기고 길은 건넌 사람은 당신이잖아요!,You're the one who ignored the traffic lights and crossed the street!
이번 여름에는 시원하게 보내고 싶어서 옷을 새로 사고 싶어.,I want to buy new clothes because I want to stay cool this summer.
저는 제 갈 길 가고 있었는데 왜 그게 제 잘못인가요?,I was just driving along the road minding my own business. Why is it my fault?
언제 여자 친구 소개시켜 줄꺼야?,When are you going to introduce your girlfriend?
나는 카카오톡을 하거나 인터넷 검색을 해요.,I do Kakao talk or search the Internet.
당신은 나한테 갑자기 찾아온 사랑이예요.,You are a love which suddenly came to me.
당연하지. 너무 설레서 3일 전부터 이미 다 싸놨어. ,Sure. I was so excited that I've already packed 3 days ago.
그래! 응원 많이 해줘! 내가 꼭 메달을 받고 돌아올게.,Thanks! Make sure you cheer for me! I will definitely come back with a medal.
수잔 고모와 존 고모부도 잊지 말아라.,Don't forget about aunt Susan and uncle John.
많은 라인들이 있을 줄은 몰랐네요.,I didn't know that there were many lines.
그럼 다른 직원이 대신 참석할 수 있는지 물어보겠습니다.,Then I will ask if another staff member can take part instead.
작은 텐트와 간단한 낚시도구를 가지고 갈 것이예요.,We will bring a small tent and some simple fishing tools.
내가 찾는 회사는 디자인 회사가 아니야.,I am not looking for the design company.
"그런데, 갑자기, 제가 절벽에서 떨어지게 생겼다는 것을 알게 되었죠.","Then, suddenly, I noticed I was going to drive off a cliff."
일본은 세계에서 여러 가지 종류의 생선을 수입하고 있어요.,Japan imports many kinds of fish from all over the world.
나 차로 같이 놀러다니려고 생각했어요.,I was thinking that we could hang out using my car.
그는 단편적 주제에 있어서 권위자에요.,He is an authority on odd subjects.
푸드 코드는 9시까지만 운영합니다. ,The food court is only open until 9pm.
오늘 가능한 제일 빠른 시간은 언제죠?,What is the earliest time available today?
여기서는 교통수단을 타고 가야 합니다.,You have to take public transportation from here.
인터넷으로 주문하고 법인 카드로 계산하세요.,Order online and pay with the corporate credit card.
지금 티켓받으실래요 아니면 공연 당일날 받으실래요?,Would you get tickets now or on the day of performance?
짐이 저한테 화가 난 듯이 보이예요.,It seems that Jim is angry with me.
한 남자가 친구를 밀어내고 여자와 얘기하고 있어요.,He is talking with a woman after pushing his friend away.
잠을 자야 하는데 눈만 피곤해요.,I have to sleep but only my eyes are tired.
첨부된 사진에서 하나 선택하셔서 부탁드려요.,Please choose one among the attached pictures.
이 버스에 성인 2명이 타면 금액은 얼마인가요?,How much would it be if two adults get on this bus?
그곳은 무서운 학생 들이 모이는 장소이예요.,It is the place where dreadful students gather up.
경복궁역에서 가장 큰 매장이예요.,It is the largest store in Gyeongbokgung Station.
수요일 온보드 될 수 있도록 협조 바래요.,Please cooperate to be onboard on Wednesday.
탄자니아 여행의 필수품은 물이에요.,One of the necessities while traveling in Tanzania is water.
선물에 부담을 느끼지 않았으면 좋겠어.,Please feel comfortable with the present.
죄송합니다만 5일 투어 일정은 현재 매진입니다. ,I am sorry but all tickets are sold out for the 5th.
당신의 아름다움을 한층 높여줄거예요.,It will bring your beauty to another level.
주제는 자유였어. 미술실에 가면 그림을 볼 수 있을 거야.,It was a free subject. You will see the drawings in the art room.
나 농담 같은 건 할 생각이 없어요.,I don't feel like cracking a joke.
이사 오기 전에 2년 정도 집 앞에서 해 왔어요. ,I did pilates for about 2 years in front of my house before I moved.
작년에 가족과 함께 갔던 곳이 있는데 알려드리겠습니다.,"There is a place I went to last year with my family, I will let you know."
그녀는 다양한 색으로 색칠해요.,She paints with a variety of color.
난 예쁜 여자였어 남자가 되기 위해 성전환 수술을 했어요.,"I was a pretty girl, I went through a surgery to be a man."
이렇게 자주 나오지 않으시면 운동의 효과를 볼 수가 없어요. ,"If you continue not coming here, you can't see the effects for your workout."
이번 주는 정말 바쁘다. 책을 두 권이나 읽어야 한다니.,It's too busy this week. I have to read 2 books.
그는 오늘 읽기 시험을 못 봐서 실망했어.,He was frustrated because he failed his reading test.
내가 보내 준 사진 보고 디자인 협의 중이라고 해요.,They are discussing the design now with the picture I sent.
그에게 사랑을 받을 수만 있다면 죽어도 상관없어요.,"If he loves me, it doesn't matter if I'm dead."
그 직원은 이미 다른 질문을 대답하고 있습니다.,That employee is already answering another question.
최근 한 달간은 환율 변화가 크지 않습니다.,Exchange rates haven't changed much in the past month.
1990년대 후반에 방영됐던 드라마인데 지금 텔레비전에서 방영하네. ,"It was aired in the late 1990s, and it's being aired on TV again."
제 여동생에게 선물할 옷이라서 분홍색으로 포장 부탁드립니다.,"The clothes are a present for my little sister, please pack them in pink."
"네, 알겠습니다. 휴대전화 전원을 끄고 공연을 관람할게요.","Ok, I see. I will watch the performance with my cellphone turned off."
오늘도 새로운 집을 알아봐야 해요.,"Today, I have to look for a new house as well."
또한 다양한 색깔의 예쁜 꽃들이 있어.,There are also various colors of beautiful flowers.
톰. 지금 통화 가능해? 내 생일 파티에 초대하고 싶어서 전화했어.,"Tom, can I speak to you? Come to my birthday party."
싫어도 사랑은 내가 하는 것이에요.,Love is mine though it is disgusting.
저는 여배우 중에서 그녀가 제일이라고 생각해요.,"Among actresses, I think she's the best actor."
오늘 오전까지 서류를 가지고 와 주길 바래.,Please bring the document until this morning.
그렇군요. 그런데 그날 오후에 서울 떠나서 다른 날로 일정을 잡을 수가 없습니다.,I see. But I can’t schedule another date since I’m leaving Seoul in the afternoon on that day.
연락을 취한 후 투자 금액 및 분야를 구체화할 것입니다.,I will contact them and materialize the specific investment amount and its sector.
그 코드는 유럽으로 송금할 때만 필요해요.,The code is needed only for sending money to Europe.
그리고 갑자기 내일 만나자고 한 이유가 뭐야?,And why do you suddenly suggest me to meet tomorrow?
이것은 기본적이고 또한 매우 심각한 문제이예요.,This is very basic and also very serious issue.
엄마에게 보여 주기 위해 사진을 만들었어.,I made the picture to show to my mom.
나는 그 책에 묘사된 집과 같은 집을 원해요.,I want the house which is described on the book.
개인적으로 일본을 별로 안 좋아해.,I personally really don't like Japan.
좋은 취미를 가지고 계셨네요. 혹시 단까지 따셨나요?,You had a good hobby. Did you manage to get a Dan?
당신은 혼자이니 그런 욕망은 없는 것이 좋아요.,It's good for you not to have such desire as you are alone.
당좌 예금계좌를 개설하고 싶어요.,I would like to open a checking account.
심지어 노래도 정말 잘하는 가수들이라서 반응도 꽤 좋은 듯해. ,"And the singers are very talented, too, so it received much positive response."
나는 지난번에 너가 보여 준 사진도 좋던데.,The photo you showed me last time was good too.
다음 월요일 아침에 체크 아웃 하겠어요.,I'll check out on next Monday morning.
우리 팀 구장은 화장실 때문에 불만들이 많아요.,There are a lot of complaints about our stadium because of the restroom.
먼저 눈을 감은 뒤 숨을 깊게 들이마셔 보세요.,Close your eyes first and take a deep breath.
그는 2차캠프 숙제였다고 말했어요.,He told me it was homework for the second camp.
즉석 음식을 많이 먹었더니 살이 금방 쪘어.,I suddenly gained a lot of weight because I ate a lot of instant food.
예산안을 짰어요. 해당 내용에 관해서 회의가 필요할 것 같아요.,I've prepared a budget plan. I think we'll need a meeting for that.
개인적인 일이 끝나는 대로 너의 본업으로 돌아 와라.,Resume to work as soon as you are done with personal matters.
스타일은 좋은데 다른 색로 있어요?,"The style is nice, but do you have it in a different color?"
세계 휴대 전화 제조업 체인 노키아가 몰락했어요.,Nokia mobile phone manufacturer in the world was downfall.
신제품을 제외하고 최대 30% 할인을 제공하고 있습니다.,We are giving up to 30 percent discount on all vacuums except for new releases.
당신은 5월 1일 고객 센터에 전화해야 해요.,You will have to call customer service on May first.
신도는 이웃하는 작은 섬이 2개가 있어요.,There are two neighboring islands around Sindo.
신주쿠로 가장 쉽게 가는 방법이 뭔지 아십니까?,What's the easiest way to get to Shinjuku?
많은 사람들은 대중예술보다 순수예술이 더 많은 예술성을 띄고있다고 생각해요.,Many thinks that fine arts are more artistic than pop arts.
이따가 나올때 내 선그라스 있으면 챙겨줄수있어?,Can you bring my sunglass when you come out later?
3번과 대비되는 녹색이 어울릴 것 같네요.,I think the green which contrasts with the number 3 will look good.        
여행을 가고싶다면 영국의 런던으로 가세요.,"If you want to travel, go to London, England."
언제부터 증상이 나타났어요? 문제가 생기면 제게 바로 말해야 합니다.,When did the symptoms start? You need to tell us right away if there are issues.
소비자들과 커뮤니케이션을 나눈다고 표현할수 있어.,It is a way of communicating with the consumers.
제가 최근에 귀사에게서 상품을 2개 주문 했어요.,I ordered two products from your company recently.
알겠습니다. 부끄러우니 작게 말해주세요.,I understand. Please say it softly because I am embarrassed.
"아, 그러시면 제가 추가 리스트를 이메일로 보내드릴테니 확인 부탁드립니다.","Ah, then I will send another e-mail with a list of additional hotels."
그 광경은 너무나 애처로워서 볼 수가 없었어요.,The sight was too pathetic for me to look at.
친구가 출장을 와서 밖에서 점심을 먹었어.,I ate out because my friend came by on business.
우리는 우리가 어디서 왔는지 알아야해요.,We have to know where we come from.
어쩔 수 없이 학교로 가서 교과서를 가지고 와야 했어요.,I am obliged to go to school and bring the text book.
그는 서울대학교 외교학과를 졸업했어요.,He graduated from Depatment of diplomacy in Seoul university.
일본은 세계적인 경제 대국 중 하나이예요.,Japan is one of the largest economies in the world.
이 회사의 인터뷰를 위한 조언을 저에게 주시기 바래요.,Please give me some advice for the interview of this company.
열심히 공부하고 차분하기를 바래.,I hope you study hard and to be calm.
작년에 이미 30명의 신입 사원을 충원하지 않으셨나요?,Didn't you already recruit 30 new employees last year?
"아니요, 갈아타는 건 걸어서 5분도 안 걸립니다.","No, it doesn't even take 5 minutes by walking to transfer. "
내가 다른 태국 여자 들과 연락 하는 거 어떻게 생각해?,How do you think of contacting other Thailand women?
누나가 다음주 금요일에 수술을 해요.,My older sister has an operation on next Friday.
"이런, 회사 차원에서는 그런 요청이 발생하면 난감하겠네요.","Oh, the company should be in trouble if such requests occur."
내가 곧 작은 편의점을 운영할꺼야.,I will run a small convenience store soon.
대답했으니 이번에 봐주겠습니다. 다음에는 늦지 말고 오세요.,I’ll let it pass since you answered. Don’t be late next time.
내 소중한 것은 세상 무엇과도 바꾸지 않을 것이예요.,I wouldn't change my precious thing for all the world.
제 방에서 업무 서류를 찾을 수가 없어요.,I cannot find my business documents in my room.
눈보라 때문에 앞이 하나도 보이지 않았어요.,I couldn't see anything due to blizzard.
나는 매일 여섯 시에 일어나려고 노력하고 있어.,I am trying to get up at six every day.
건물 남쪽 엘리베이터를 타고 9층에 내리셔서 오른쪽으로 가면 됩니다.,"Take the elevator to the south of the building and get off on the 9th floor, then take the right turn."
이번 주문건은 불량이 없어야해요.,We expecct zero defects in this order.
3번 문제에서 이렇게 풀면 된다고 조교가 그랬는데 틀려서 왔습니다.,The T.A. told me to solve problem 3 this way but I got it wrong. 
죄송한데 지금 두피가 너무 따가운데 상태 한번 확인해주세요. ,I'm sorry but my scalp is burning. Please check.
우리 커피숍에 가서 수다나 떨까?,How about go to a coffee shop and chat?
물감이 빨리 건조 됬으면 좋겠어.,I hope the paints will dry quickly.
범인은 잡았어? 우리 다음 달에 가기로 했던 곳이잖아.,Did they catch the culprit? That's where we were planning to go next month.
한번도 느껴보지 못했던 기분이었어.,This feeling was the first time that I haven’t felt it before.
우리가 아침에 버스 표를 대신 예매해 달라고 부탁했었어.,We requested to reserve bus tickets for us.
대만에서 홍콩까지 얼마나 걸리나요?,How long does it take from Taiwan to Hongkong?
내가 지금 한국에 있다는 것을 실감했어.,I have just realized the fact that I am in Korea.
내 룸메이트인 홍은 잘 때마다 심하게 코를 골아.,My roomate Hong snores so hard whenever he was sleeping.
스와이프로 공을 날려 버블을 터트리세요.,Swipe the ball and blow up bubbles.
이 코스가 전에 파인애플 농장이었다고 들었어요.,I heard this course used to be a pineapple plantation.
그에게 왜 영어로 말하지 안하냐고 물어 보았어.,I asked him why he didn’t speak in English.
세탁서비스 무료로 이용가능한가요?,Laundry service available for free?
그리고 당신은 배송 비용을 당신이 지불하는 것으로 알고 있습니까?,And you know that you are supposed to pay deliverance fee?
"석탄, 금 제품들은 이를 바탕으로 하고 있어.","Coal, gold products are based on this."
과학박물관 창립 20주년 행사를 어떻게 진행하는 것이 좋을까요?,How would you like to proceed with the 20th anniversary of the Science Museum?
사회적 기업이 더욱 퍼지기 위해 무엇이 필요하다고 생각하십니까?,What do you think is necessary to expand social enterprises much more?
"그러면 유럽이나 남미에서까지도 케이팝 공연을 하는 거네, 정말 신기하다. ",So they do K-pop concerts even in Europe or South America. How amazing.
인터넷은 많은 정보 들을 가지고 있고 공유해요.,The Internet has lots of information that are shared.
하지만 그날을 즐기는 사람도 있어요.,But there are people who enjoy that day.
우리는 스포츠 정신에 의해 정정당당한 경기를 했어요.,We played a game with a fair sportmanship.
"응, 지금 너랑 온 게 처음이고 가고 싶은 곳이 너무 많아!","Yes, this trip with you is my first visit to Seoul, and there are so many places to go!"
그렇다면 #용산역#에 갈려면 어느 노선을 타야 하나요?,Then which line do I have to get on to get to #Yongsan Station#?
시장 내 센터에서 화폐를 교환화면 돼요.,You can exchange money at service center in market.
이곳은 사 사부 외무 장관의 자택 앞이예요.,This is in front of the house of Foreign Minister Sasabe.
그 다리는 현대 공학 기술의 위대한 업적이예요.,The bridge is a triumph of modern engineering.
한국에서 멋진 생활하기를 바래.,I hope you to have a good life in Korea.
차이나타운에 대한 자신의 생각을 간략히 서술해주세요.,Please describe shortly about what you think of Chinatown.
나는 디자인이 이쁘고 아담한 것이 좋아요.,I like things with pretty and neat designs.
그는 중앙대학교에 다니는 학생이예요.,He's a student of Joongang university.
호텔에 안에 수영장 말고 온천 시설도 있는지 궁금합니다. ,I was wondering if there were Spas too not just swimming pools. 
또한 야간 불꽃놀이는 6월에도 계속될 예정이예요.,"Also, night fire work will be continued even in June."
열 아홉 살이고 한국 강남에 살고 있어요.,"I am nineteen years old living in Gangnam, Seoul, Korea."
왜냐하면 지금 버스는 버스 전용 차로로 달려서 막히는 택시보다 빠르기 때문이야.,Because buses run on driveways so they are faster than taxis stuck in traffic.
적외선탐색기를 이용하여 표적 추적을 시작해요.,Start target tracing with an infrared seeker.
이곳은 분당의 유일한 여자 고등학교이예요.,This is the only female high school in Bundang.
"예, 백화점 1층에 흡연실이 마련되어 있습니다.","Yes, there is a smoke area on the 1st floor of this mall. "
죄송하지만 그날은 이미 일정이 잡혔습니다.,I'm sorry but I'm already booked for that day.
그 사람에게 좋은 사람이 되라고 하지 않겠어요.,I will not tell you to be a good person.
저도 복구 시술에 대해 들어봤는데 혹시 가격은 어떻게 되나요?,"I've heard about the repair, but what's the price?"
이들은 멤버십 비용 전액을 카드로 내일 결제할 예정이예요.,They plan to pay the whole membership fee by card tomorrow.
일단 무리하게 하는 것보다는 적은 무게부터 시작하는 게 좋아요. ,"Rather than going overboard, I recommend starting with lighter weights."
만약에 못 찾으면 당신이 나의 여자 친구이예요.,"If you cannot find it, you are my girlfriend."
의사 선생님이 목요일에 유도 분만을 하자고 했어요.,Doctor told me to do induced labor on Thursday.
과거는 추억할 수 있기에 존재해요.,The past exists since it can be recalled.
난 점심 먹을 준비하고 있을게요.,I'll prepare for lunch.
충수의 기능이 무엇인지에 대해서 아직까지 알려진 것이 없어.,Nothing is known yet about the function of appendix.
탁구 실력이 많이 늘었네요. 이제 속도도 많이 붙었어요.,Your table tennis skills have improved a lot. You have gained a lot of speed now.
제가 몰라서 착각했네요. 인쇄해서 드리겠습니다.,I was mistaken. Let me print it out and hand it to you.
그분은 누구죠? 아직 연락받은 건 따로 없습니다.,"Who is that? No, I didn't get any messages."
주문 개수를 언제까지 알려드려야하나요?,And when should she let you know the quantity?
지갑이 보이지 않을 때 걱정했어요.,I felt worried when I can't see my wallet.
여보세요? 룸서비스는 언제까지 주문할 수 있나요?,Hello? Until when is the room service available?
평생 당신을 옆에서 있게 해주세요.,Let me take care of you for the rest of your life.
이제 다시 상해가서 열심히 공부해야지.,Now I will return to Shanghai and study hard again.
만약 구매자가 리뷰를 올리지 않으면 어떻게 됩니까?,What happens if buyers don't post a review?
당신은 한국에 많은 곳을 다녔네요.,You went to many places of the Korea.
한류의 시초가 무엇인지 알고 있니?,Do you know the beginning of #Hanryu#?
저희가 진행하고 있는 광고 캠페인이 예산 한도를 초과했다고 합니다.,I was told that our promotion campaign has exceeded the budget limit.
누구나 사랑을 시작할 때는 달콤해.,"When people start loving someone, they are sweet."
나의 부모님은 토요일마다 내가 농구를 하게 해요.,My parents made me play basketball every Saturday.
안녕하세요. 독일까지 안전한 비행 부탁드립니다.,Hello. Please fly safely to Germany.
승범이가 없다면 나는 꿀먹은 벙어리가 될거야.,Without Seoung bum I'll be speechless.
